category,key,en,ja,ar,es,de,hi,fr,ru,zh,pt
tool,select,English,日本語,عربي,Español,Deutsch,हिंदी,Français,Русский,中國人,Português
,labelLanguage,language,言語,لغة,idioma,Sprache,भाषा,langue,язык,語言,linguagem
,tabPageAddTag,Add Tag,タグ追加,إضافة علامة,Añadir etiqueta,Tag hinzufügen,टैग जोड़ो,Ajouter une étiquette,Добавить метку,添加標籤,Adicionar etiqueta
,labelDragAndDropArea,Drag and drop your video or folder here,ここに動画かフォルダをドラッグ＆ドロップしてください,اسحب وإسقاط الفيديو أو المجلد هنا,Arrastre y deje caer su video o carpeta aquí,Ziehen Sie Ihr Video oder Ordner hier ab und lassen Sie sie fallen,अपने वीडियो या फ़ोल्डर को यहां खींचें और ड्रॉप करें,Faites glisser et déposez votre vidéo ou votre dossier ici,Перетащите здесь видео или папку,在此處拖放視頻或文件夾,Arraste e solte seu vídeo ou pasta aqui
,buttonOpenWeb,Open the Client,サイトを開く,افتح العميل,Abra el cliente,Öffnen Sie den Kunden,क्लाइंट खोलें,Ouvrir le client,Откройте клиент,打開客戶,Abra o cliente
,labelDirTag,Add folder name as tag,フォルダ名をタグとして追加,إضافة اسم المجلد كعلامة,Agregar nombre de carpeta como etiqueta,Ordnername als Tag hinzufügen,टैग के रूप में फ़ोल्डर नाम जोड़ें,Ajouter le nom du dossier en tant que balise,Добавить имя папки в качестве тега,將文件夾名稱添加為標籤,Adicione o nome da pasta como tag
,checkAddTagDragAndDrop,Add the name of the dragged and dropped folder as a tag,ドラッグ＆ドロップしたフォルダ,أضف اسم المجلد الذي تم سحبه وإسقاطه كعلامة,Agregue el nombre de la carpeta arrastrada y soltada como una etiqueta,Fügen Sie den Namen des gezogenen und gelöschten Ordners als Tag hinzu,टैग के रूप में ड्रैग किए गए और गिराए गए फ़ोल्डर का नाम जोड़ें,Ajoutez le nom du dossier gardé et abandonné sous forme de balise,Добавить имя перетаскивающейся папки в качестве тега,將拖放文件夾的名稱添加為標籤,Adicione o nome da pasta arrastada e soltada como uma tag
,labelAddTag,Tag to add,追加するタグ,علامة لإضافة,Etiqueta para agregar,Tag zum Hinzufügen,जोड़ने के लिए टैग,Tag à ajouter,"Тег, чтобы добавить",標籤要添加,Tag para adicionar
,checkAddTagParent,Add the file's parent folder name as a tag,親フォルダ,أضف اسم المجلد الوالد للملف كعلامة,Agregue el nombre de la carpeta principal del archivo como etiqueta,Fügen Sie den übergeordneten Ordnernamen der Datei als Tag hinzu,टैग के रूप में फ़ाइल के मूल फ़ोल्डर नाम जोड़ें,Ajouter le nom du dossier parent du fichier en tant que balise,Добавить имя папки «родительская папка» в качестве тега,將文件的父文件夾名稱添加為標籤,Adicione o nome da pasta pai do arquivo como uma tag
,tabPageSetting,setting,設定,جلسة,configuración,Einstellung,सेटिंग,paramètre,параметр,環境,contexto
,labelEnableReboot,The settings will take effect after rebooting.,設定は再起動後から有効になります。,سوف تسري الإعدادات بعد إعادة التشغيل.,La configuración entrará en vigencia después de reiniciar.,Die Einstellungen werden nach dem Neustart wirksam.,रिबूटिंग के बाद सेटिंग्स प्रभावी हो जाएंगी।,Les paramètres prendront effet après le redémarrage.,Настройки вступит в силу после перезагрузки.,重新啟動後，設置將生效。,As configurações entrarão em vigor após a reinicialização.
,ColumnEnable,enable,有効,يُمكَِن,permitir,aktivieren,सक्षम,activer,давать возможность,使能夠,habilitar
,ColumnPath,path,パス,طريق,camino,Weg,पथ,chemin,путь,小路,caminho
,taskMsg,task:{0}  file:{1},タスク:{0}　ファイル:{1},المهمة: {0} ملف: {1},Tarea: {0} archivo: {1},Aufgabe: {0} Datei: {1},कार्य: {0} फ़ाइल: {1},Tâche: {0} fichier: {1},Задача: {0} файл: {1},任務：{0}文件：{1},Tarefa: {0} arquivo: {1}
,taskEnd,Task finished,タスク終了,انتهت المهمة,Tarea terminada,Aufgabe erledigt,कार्य समाप्त,Tâche terminée,Задача закончена,任務完成,Tarefa terminada
,labelMonitorPath,Folder to monitor,監視フォルダ,مجلد لمراقبة,Carpeta para monitorear,Ordner zu überwachen,मॉनिटर करने के लिए फ़ोल्डर,Dossier à surveiller,Папка для мониторинга,文件夾要監視,Pasta para monitorar
html,tw_AddTag,Add tag,追加,إضافة علامة,Añadir etiqueta,Tag hinzufügen,टैग जोड़ो,Ajouter une étiquette,Добавить метку,添加標籤,Adicionar etiqueta
,tw_RemoveTag,Delete tag,タグの削除,حذف العلامة,Etiqueta de eliminación,Tag löschen,टैग हटाएं,Supprimer la balise,Удалить тег,刪除標籤,Excluir tag
,tw_RemoveTagConfirm,Delete the checked tags. Is it OK?,チェックしたタグを削除します。よろしいですか？,حذف العلامات التي تم فحصها. هل الامور على ما يرام؟,Elimine las etiquetas marcadas. ¿Está bien?,Löschen Sie die geprüften Tags. Ist es o.k?,चेक किए गए टैग को हटा दें। क्या यह ठीक है?,Supprimez les balises vérifiées. Est-ce que c'est bon?,Удалить проверенные теги. Это нормально?,刪除檢查標籤。可以嗎？,Exclua as tags verificadas. Está tudo bem?
,tw_RemoveMedia,Remove this video from management,この動画を管理から外す,قم بإزالة هذا الفيديو من الإدارة,Eliminar este video de la administración,Entfernen Sie dieses Video vom Management,इस वीडियो को प्रबंधन से हटा दें,Supprimer cette vidéo de la gestion,Удалить это видео из управления,從管理中刪除此視頻,Remova este vídeo da gerência
,tw_RemoveMediaConfirm,Remove this video from management Is it OK? The video file itself will not be deleted.,この動画を管理から外します。よろしいですか？\n動画ファイル自体は削除されません。,إزالة هذا الفيديو من الإدارة هل هو بخير؟ لن يتم حذف ملف الفيديو نفسه.,"Eliminar este video de la administración, ¿está bien? El archivo de video en sí no se eliminará.",Entfernen Sie dieses Video aus der Verwaltung. Ist es in Ordnung? Die Videodatei selbst wird nicht gelöscht.,प्रबंधन से इस वीडियो को हटा दें क्या यह ठीक है? वीडियो फ़ाइल स्वयं हटाए नहीं जाएगी।,Supprimer cette vidéo de la gestion est-ce que ça va? Le fichier vidéo lui-même ne sera pas supprimé.,"Удалить это видео из управления, это нормально? Сам видеофайл не будет удален.",從管理中刪除此視頻，還可以嗎？視頻文件本身不會刪除。,"Remova este vídeo da gerência, está ok? O próprio arquivo de vídeo não será excluído."
,tw_delAll,Delete all,全て削除,حذف الكل,Eliminar todos,Alles löschen,सभी हटा दो,Supprimer tout,Удалить все,刪除所有,Exclua tudo
,tw_setThumbnail,use for thumbnail,サムネイルに設定,استخدام الصورة المصغرة,Uso para miniatura,Verwendung für Miniaturansichten,थंबनेल के लिए उपयोग करें,Utilisation de la vignette,Используйте для миниатюры,用於縮略圖,Use para miniatura
,tw_urlCode,URL Code,URLコード,رمز URL,Código de url,URL -Code,URL कोड,Code URL,URL -код,URL代碼,Código de URL
